mesh_pointer,left,right,bottom,top,x_pointer,y_pointer,x_y_pointer
1,2400.0,2410.0,2400.0,2410.0,240,240,"(240, 240)"
2,2410.0,2420.0,2400.0,2410.0,241,240,"(241, 240)"
3,2420.0,2430.0,2400.0,2410.0,242,240,"(242, 240)"
4,2430.0,2440.0,2400.0,2410.0,243,240,"(243, 240)"
5,2440.0,2450.0,2400.0,2410.0,244,240,"(244, 240)"
6,2450.0,2460.0,2400.0,2410.0,245,240,"(245, 240)"
7,2460.0,2470.0,2400.0,2410.0,246,240,"(246, 240)"
8,2470.0,2480.0,2400.0,2410.0,247,240,"(247, 240)"
9,2480.0,2490.0,2400.0,2410.0,248,240,"(248, 240)"
10,2490.0,2500.0,2400.0,2410.0,249,240,"(249, 240)"
11,2500.0,2510.0,2400.0,2410.0,250,240,"(250, 240)"
12,2510.0,2520.0,2400.0,2410.0,251,240,"(251, 240)"
13,2520.0,2530.0,2400.0,2410.0,252,240,"(252, 240)"
14,2530.0,2540.0,2400.0,2410.0,253,240,"(253, 240)"
15,2540.0,2550.0,2400.0,2410.0,254,240,"(254, 240)"
16,2550.0,2560.0,2400.0,2410.0,255,240,"(255, 240)"
17,2560.0,2570.0,2400.0,2410.0,256,240,"(256, 240)"
18,2570.0,2580.0,2400.0,2410.0,257,240,"(257, 240)"
19,2580.0,2590.0,2400.0,2410.0,258,240,"(258, 240)"
20,2590.0,2600.0,2400.0,2410.0,259,240,"(259, 240)"
21,2600.0,2610.0,2400.0,2410.0,260,240,"(260, 240)"
22,2610.0,2620.0,2400.0,2410.0,261,240,"(261, 240)"
23,2620.0,2630.0,2400.0,2410.0,262,240,"(262, 240)"
24,2630.0,2640.0,2400.0,2410.0,263,240,"(263, 240)"
25,2640.0,2650.0,2400.0,2410.0,264,240,"(264, 240)"
26,2650.0,2660.0,2400.0,2410.0,265,240,"(265, 240)"
27,2660.0,2670.0,2400.0,2410.0,266,240,"(266, 240)"
28,2670.0,2680.0,2400.0,2410.0,267,240,"(267, 240)"
29,2680.0,2690.0,2400.0,2410.0,268,240,"(268, 240)"
30,2690.0,2700.0,2400.0,2410.0,269,240,"(269, 240)"
31,2700.0,2710.0,2400.0,2410.0,270,240,"(270, 240)"
32,2710.0,2720.0,2400.0,2410.0,271,240,"(271, 240)"
33,2720.0,2730.0,2400.0,2410.0,272,240,"(272, 240)"
34,2730.0,2740.0,2400.0,2410.0,273,240,"(273, 240)"
35,2740.0,2750.0,2400.0,2410.0,274,240,"(274, 240)"
36,2750.0,2760.0,2400.0,2410.0,275,240,"(275, 240)"
37,2760.0,2770.0,2400.0,2410.0,276,240,"(276, 240)"
38,2770.0,2780.0,2400.0,2410.0,277,240,"(277, 240)"
39,2780.0,2790.0,2400.0,2410.0,278,240,"(278, 240)"
40,2790.0,2800.0,2400.0,2410.0,279,240,"(279, 240)"
41,2800.0,2810.0,2400.0,2410.0,280,240,"(280, 240)"
42,2810.0,2820.0,2400.0,2410.0,281,240,"(281, 240)"
43,2820.0,2830.0,2400.0,2410.0,282,240,"(282, 240)"
44,2830.0,2840.0,2400.0,2410.0,283,240,"(283, 240)"
45,2840.0,2850.0,2400.0,2410.0,284,240,"(284, 240)"
46,2850.0,2860.0,2400.0,2410.0,285,240,"(285, 240)"
47,2860.0,2870.0,2400.0,2410.0,286,240,"(286, 240)"
48,2870.0,2880.0,2400.0,2410.0,287,240,"(287, 240)"
49,2880.0,2890.0,2400.0,2410.0,288,240,"(288, 240)"
50,2890.0,2900.0,2400.0,2410.0,289,240,"(289, 240)"
51,2900.0,2910.0,2400.0,2410.0,290,240,"(290, 240)"
52,2910.0,2920.0,2400.0,2410.0,291,240,"(291, 240)"
53,2920.0,2930.0,2400.0,2410.0,292,240,"(292, 240)"
54,2930.0,2940.0,2400.0,2410.0,293,240,"(293, 240)"
55,2940.0,2950.0,2400.0,2410.0,294,240,"(294, 240)"
56,2950.0,2960.0,2400.0,2410.0,295,240,"(295, 240)"
57,2960.0,2970.0,2400.0,2410.0,296,240,"(296, 240)"
58,2970.0,2980.0,2400.0,2410.0,297,240,"(297, 240)"
59,2980.0,2990.0,2400.0,2410.0,298,240,"(298, 240)"
60,2990.0,3000.0,2400.0,2410.0,299,240,"(299, 240)"
61,3000.0,3010.0,2400.0,2410.0,300,240,"(300, 240)"
62,3010.0,3020.0,2400.0,2410.0,301,240,"(301, 240)"
63,3020.0,3030.0,2400.0,2410.0,302,240,"(302, 240)"
64,3030.0,3040.0,2400.0,2410.0,303,240,"(303, 240)"
65,3040.0,3050.0,2400.0,2410.0,304,240,"(304, 240)"
66,3050.0,3060.0,2400.0,2410.0,305,240,"(305, 240)"
67,3060.0,3070.0,2400.0,2410.0,306,240,"(306, 240)"
68,3070.0,3080.0,2400.0,2410.0,307,240,"(307, 240)"
69,3080.0,3090.0,2400.0,2410.0,308,240,"(308, 240)"
70,3090.0,3100.0,2400.0,2410.0,309,240,"(309, 240)"
71,3100.0,3110.0,2400.0,2410.0,310,240,"(310, 240)"
72,3110.0,3120.0,2400.0,2410.0,311,240,"(311, 240)"
73,3120.0,3130.0,2400.0,2410.0,312,240,"(312, 240)"
74,3130.0,3140.0,2400.0,2410.0,313,240,"(313, 240)"
75,3140.0,3150.0,2400.0,2410.0,314,240,"(314, 240)"
76,3150.0,3160.0,2400.0,2410.0,315,240,"(315, 240)"
77,3160.0,3170.0,2400.0,2410.0,316,240,"(316, 240)"
78,3170.0,3180.0,2400.0,2410.0,317,240,"(317, 240)"
79,3180.0,3190.0,2400.0,2410.0,318,240,"(318, 240)"
